"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.82","0.82","-86.13","-86.13","SAQ","-2500","-2500","s_ST717D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.74","2.14","","12.92","","1.63","10.92","","9.97","5.74","","","0.15","2.68","0.3","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","408","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","6.5","2","","1.4","","","","","6","0.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36735",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.82","0.82","-86.13","-86.13","SAQ","-2500","-2500","s_ST717D-4 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.75","2.01","","12.88","","0.96","11.04","","10.67","6.32","","","0.09","2.4","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","439","","","","65","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","","","5.2","1.7","","1.3","","","","","6.3","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36736",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.85","0.85","-86.55","-86.55","SAQ","-2381","-2381","s_CTW6D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.58","1.87","","13.66","","2.22","10.95","","11.08","6.47","","","0.08","2.34","0.18","","0.49","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","324","117","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","12.9","","11.8","4.7","1.7","","1.3","","","","","5.1","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36738",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.74","0.74","-87.48","-87.48","SAQ","-2180","-2180","s_TR1641D-2A [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.13","1.89","","13.56","","2.25","11.01","","11.01","6.37","","","0.14","2.52","0.17","","0.3","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","458","60","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","15.1","","11.8","4.8","1.6","","1.2","","","","0.74","4.8","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36740",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.72","0.72","-87.86","-87.86","SAQ","-2115","-2115","s_TR1642D-1 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.06","2.16","","13.48","","2.57","11.74","","10.24","5.78","","","0.28","2.84","0.25","","0.35","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","462","53","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","22.9","","15","5.8","1.7","","1.3","","","","0.88","5.3","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36741",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.73","0.73","-88.24","-88.24","SAQ","-1994","-1994","s_TR1643D-1B [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.25","1.48","","13.87","","1.88","10.15","","11.4","7.56","","","0.09","2.28","0.13","","0.15","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","373","215","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","12.9","","11.8","3.8","1.4","","0.9","","","","0.82","4.7","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36742",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.75","0.75","-88.6","-88.6","SAQ","-1880","-1880","s_TR1644D-3B [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.54","1.62","","13.67","","1.96","10.69","","11.21","6.9","","","0.09","2.52","0.14","","0.24","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","410","100","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","10.1","","8.6","3.8","1.4","","1","","","","0.68","4.5","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36743",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.84","0.84","-89.59","-89.59","SAQ","-1775","-1775","s_TR1646D-2A [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.93","1.51","","14.41","","1.53","8.96","","12.03","7.21","","","0.14","2.43","0.16","","0.39","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36748",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.86","0.86","-89.99","-89.99","SAQ","-1710","-1710","s_TR1647D-1 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.55","1.6","","14.9","","4.39","7.53","","12.12","7.19","","","0.16","2.63","0.15","","0.18","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","351","180","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","16.6","","12.8","4.3","1.5","","1","","","","0.66","3.5","0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36749",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.91","0.91","-90.38","-90.38","SAQ","-1680","-1680","s_TR1648D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.42","2.28","","13.3","","1.53","12.61","","10.44","5.46","","","0.4","3.13","0.25","","0.4","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","441","287","","","46","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","28.7","","19.4","6","2","","1.3","","","","0.91","5.4","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36750",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.93","0.93","-90.5","-90.5","SAQ","-1555","-1555","s_TR1649D-3A [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","47.87","1.84","","16.03","","0.98","8.25","","11.55","7.67","","","0.44","2.83","0.22","","0.49","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36752",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","1.9","1.9","-90.95","-90.95","SAQ","-2516","-2516","s_TR16426D-1A [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.62","1.85","","13.56","","1.32","10.28","","10.64","6.45","","","0.28","2.41","0.22","","0.52","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36755",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","1.81","1.81","-91.26","-91.26","SAQ","-2082","-2082","s_RC10-56 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.5","1.6","","15.3","","2.8","7.1","","11.2","7.3","","","0.28","2.6","0.21","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","261","347","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","19.1","","13.9","3.6","1.4","","0.9","","","","0.51","3.1","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36760",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","2.25","2.25","-92.69","-92.69","SAQ","-1983","-1983","s_TR16412D-4 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.01","1.37","","14.93","","1.87","8.68","","12.42","7.53","","","0.17","2.47","0.14","","0.26","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","327","108","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","14","","11.3","3.6","1.3","","0.8","","","","0.72","3.5","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36764",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","2.47","2.47","-93.76","-93.76","SAQ","-2213","-2213","s_TR16414D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.81","1.6","","13.93","","1.94","9.87","","11.63","6.75","","","0.24","2.43","0.21","","0.49","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","377","121","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","3.9","1.4","","1.1","","","","0.56","4.5","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36768",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","2.52","2.52","-94.06","-94.06","SAQ","-2420","-2420","s_TR16415D-3 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.01","2.33","","13.87","","2.02","10.83","","10.91","6.68","","","0.18","2.5","0.17","","0.27","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","439","91","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","15.9","","","4.5","1.5","","1","","","","0.82","4.5","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36770",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","2.24","2.24","-97.86","-97.86","SAQ","-3200","-3200","s_TR16421D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.3","1.29","","15.06","","1.6","7.93","","12.32","7.91","","","0.1","2.32","0.1","","0.2","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","289","385","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","9.4","","8.1","3.4","1.2","","0.8","","","","0.59","3.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36779",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","3.2","3.2","-83.04","-83.04","SAQ","-2600","-2600","s_ST77D-5 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","296","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","2.9","1.1","","0.8","","","","","3.1","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36782",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.71","0.71","-86.3","-86.3","SAQ","-2377","-2377","s_DSD-1B [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","577","25","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","22.2","","20.9","7.4","2.5","","2","","","","","8.1","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36783",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.82","0.82","-86.13","-86.13","SAQ","-2500","-2500","s_ST717D-3 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","439","","","","56","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","","5.3","1.7","","","","","","","5.6","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36784",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.82","0.82","-86.13","-86.13","SAQ","-2500","-2500","s_ST717D-5 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","454","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","","","6.6","2","","1.6","","","","","5.5","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36785",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.74","0.74","-87.48","-87.48","SAQ","-2180","-2180","s_TR1641D-4 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","401","70","","","46","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","13.7","","10.1","5","1.7","","1.4","","","","0.84","5","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36786",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.73","0.73","-88.24","-88.24","SAQ","-1994","-1994","s_TR1643D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","398","83","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","5","13.8","","","4.5","1.5","","1.3","","","","","4.3","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36788",
