TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.57,-85.33,SAE,s_010630-4F [15829],DACITE [15829],VOL,67.6,0.56,17.39,,,3.75,3.17,0.84,0.12,3.15,2.97,0.03,,,,,,,,,,,,,,,,,94.35,5.6,,,,,,,,,,,,61.1,396.9,29.92,223.7,10.83,,,,,,,,,,,,,1322.1,28.81,58.57,7.65,27.52,5.79,1.5,5.04,0.81,4.34,0.88,2.82,,3.72,0.49,4.62,0.59,,,,,,,,,8.2,,5.44,3.95
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.57,-85.33,SAE,s_010630-4J [15829],DACITE [15829],VOL,71.43,0.47,15.32,,,3.27,2.69,0.7,0.12,3.15,2.46,0.03,,,,,,,,,,,,,,,,,81.92,4.74,,,,,,,,,,,,54.4,338.2,17.75,197.7,9.3,,,,,,,,,,,,,1309.33,19.67,48,4.66,16.89,3.65,1.06,3.33,0.49,2.64,0.55,1.71,,1.9,0.32,4.14,0.58,,,,,,,,,7.9,,4.91,3.23
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.57,-85.33,SAE,s_010630-4K [15829],DACITE [15829],VOL,66.76,0.57,17.72,,,3.91,3.29,1.01,0.16,3.04,3.07,0.03,,,,,,,,,,,,,,,,,94.42,4.36,,,,,,,,,,,,57.9,388.3,28.48,226.6,10.01,,,,,,,,,,,,,1399.98,32.44,56.5,7.95,29.69,6.06,1.5,5.66,0.8,4.53,0.92,2.86,,3.07,0.47,5.32,0.6,,,,,,,,,7.61,,5.61,2.89
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.52,-85.17,SAE,s_990718-12A [15829],DACITE [15829],VOL,69.39,0.49,15.9,,,3.42,2.85,0.78,0.09,3.86,2.78,0.05,,,,,,,,,,,,,,,,,103.33,11.33,,,,,,,,,,,,79.8,407.8,23.89,196.9,13.27,,,,,,,,,,,,,1825.07,33.51,66.53,7.84,28.06,5.27,1.45,4.8,0.71,3.7,0.79,2.24,,2.63,0.4,4.32,0.89,,,,,,,,,12.13,,7,4.07
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.52,-85.17,SAE,s_990718-12B [15829],RHYOLITE [15829],VOL,72.31,0.45,17.24,,,3.17,2.3,0.39,0.06,1.68,2.01,0.05,,,,,,,,,,,,,,,,,70.02,9.95,,,,,,,,,,,,33.8,344.5,31.26,186,13.16,,,,,,,,,,,,,1480.79,36.56,87.43,8.86,32.81,6.47,1.56,5.87,0.83,4.38,0.94,2.75,,3.07,0.5,4.27,0.91,,,,,,,,,13.02,,6.92,3.31
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.52,-85.17,SAE,s_990718-12C [15829],DACITE [15829],VOL,68.75,0.53,16.32,,,3.72,2.88,0.66,0.1,3.74,2.83,0.05,,,,,,,,,,,,,,,,,105.26,8.01,,,,,,,,,,,,79.8,418.8,25.09,189.2,12.36,,,,,,,,,,,,,1756.68,34.77,63.24,7.78,28.59,5.37,1.35,4.85,0.69,3.78,0.79,2.27,,2.56,0.38,4.19,0.76,,,,,,,,,9.48,,6.39,3.51
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.52,-85.17,SAE,s_990718-12D [15829],DACITE [15829],VOL,68.86,0.5,17.22,,,3.37,2.67,0.55,0.08,3.75,2.58,0.05,,,,,,,,,,,,,,,,,93.79,11.81,,,,,,,,,,,,77.5,393.6,25.31,204.2,14.75,,,,,,,,,,,,,1890.46,35.46,71.71,8.55,31.81,6.19,1.57,5.32,0.76,4.1,0.85,2.49,,2.88,0.45,4.74,1.02,,,,,,,,,14.5,,8.03,4.44
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.52,-85.17,SAE,s_990718-12E [15829],DACITE [15829],VOL,69.71,0.45,16.25,,,2.99,2.82,0.59,0.08,3.79,2.92,0.05,,,,,,,,,,,,,,,,,82.61,10.81,,,,,,,,,,,,80.9,406.7,20.92,196,13.19,,,,,,,,,,,,,1803.1,30.87,61.66,6.97,24.05,4.39,1.22,3.94,0.57,3.17,0.67,2.02,,2.32,0.35,4.3,0.9,,,,,,,,,13.09,,6.84,4.04
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.52,-85.17,SAE,s_990718-12G [15829],DACITE [15829],VOL,69.13,0.48,16.11,,1.1695,3.39,2.8,0.64,0.07,3.89,3.05,0.05,,,,,,,,,,,,,,,,,95.69,10.9,,,,,,,,,,,,82.3,401.4,23.94,197,13.93,,,,,,,,,,,,,1815.2,35.87,64.72,8.34,29.87,5.7,1.45,4.84,0.69,3.82,0.76,2.2,,2.54,0.39,4.39,0.95,,,,,,,,,12.54,,6.8,4.52
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,10.69,-85.38,SAE,s_040708-3B [15829],DACITE [15829],VOL,67.34,0.53,18.73,,,3.9,2.53,0.53,0.17,3.41,2.4,0.03,,,,,,,,,,,,,,,,,80.53,5.25,,,,,,,,,,,,69.3,359.3,30.16,202,12.65,,,,,,,,,,,,,1920.62,41.72,94.29,11.84,44.48,7.41,1.5,6.67,0.8,4.31,0.74,1.74,,1.96,0.27,3.55,0.54,,,,,,,,,11.4,,8.25,5.14
