Year,SAMPLE_NAME,UNIQUE_ID,LOCATION,LAND_SEA,ROCK_TYPE,ROCK_NAME,LATITUDE,LONGITUDE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEOT_WT,FEO_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,F_PPM,K_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,TL_PPM,PB_PPM,BI_PPM,RA226(PPQ),TH_PPM,TH232_PPM,PA(PPT),U_PPM,U238_PPM,CO2_PPM,H2O_PPM,OH_PPM
2007,samp. 010629-21F,55556-010629-21F,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,RHYOLITE,10.52,-85.33,75.7961,0.1623,11.8548,,,0.6149,0.7203,0.0694,0.0279,4.8177,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 010629-21F,55556-010629-21F,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,RHYOLITE,10.52,-85.33,75.0649,0.1517,12.3585,,,0.7877,0.7603,0.1191,0.0085,5.4308,2.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 010629-21F,55556-010629-21F,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,RHYOLITE,10.52,-85.33,76.2942,0.1197,13.2831,,,0.7009,0.7487,0.0662,0.0278,5.127,2.9728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 010629-21F,55556-010629-21F,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,RHYOLITE,10.52,-85.33,75.5673,0.0518,11.9908,,,0.6246,0.6814,0.0823,0.0355,5.4627,2.8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 010629-21F,55556-010629-21F,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,RHYOLITE,10.52,-85.33,74.1685,0.1102,12.0962,,,0.7722,0.715,0.0325,0.0766,5.3284,2.3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 990718-12G,55567-990718-12G,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,DACITE,10.52,-85.17,73.4951,0.2386,12.8787,,,1.1695,1.0813,0.1017,0.0724,4.5485,3.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 040706-1J,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,DACITE,10.52,-85.17,74.8405,0.3097,12.9888,,,1.307,1.14,0.2441,0.017,4.3338,3.4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 040707-3C,55571-040707-3C,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,DACITE,10.57,-85.24,74.2238,0.1899,12.2818,,,1.5561,1.1028,0.1229,0.0425,3.8605,3.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. 040708-5A,55570-040708-5A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / GUACHIPELlN CALDERA,SUBAERIAL,VOLCANIC ROCK,DACITE,10.7,-85.38,73.6002,0.2286,12.8015,,,1.3196,1.0847,0.1399,0.0127,4.3777,3.2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,54.23,1.2,17.34,8.15,,,8.94,4.66,0.138,2.02,3.5,0.49,9.36,1.82,,,,22.4,,217,69,26.5,39.8,121,79.2,,,,54.7,820,26.2,229,23,,,,,,,0.725,857,49.2,96.2,11.4,44,7.73,2.14,6.84,0.97,4.79,0.91,2.49,,2.23,0.347,4.68,1.16,,,5.55,,,8.77,,,3.09,,,,
2007,samp. IZ03-19B1B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,57.09,0.99,16.83,7.48,,,8.06,5.55,0.124,1.97,3.41,0.39,10.7,1.72,,,,20.8,,184,136,26.3,80.2,124,75.4,,,,57.6,814,20,202,20.6,,,,,,,0.902,824,41.3,79.6,9.3,35,6.05,1.65,5.28,0.75,3.66,0.7,1.91,,1.75,0.272,4.28,1.11,,,5.79,,,9.8,,,3.51,,,,
2007,samp. IZ03-19B2,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,55.32,1.14,16.24,7.84,,,7.75,4.95,0.129,2.19,3.51,0.45,10.7,1.91,,,,21.8,,202,113,25.1,49.6,126,80.3,,,,62.1,754,23.9,242,24.8,,,,,,,0.917,859,47.1,92.2,10.8,40.8,7.1,1.87,6.19,0.89,4.38,0.83,2.28,,2.06,0.319,5.05,1.32,,,6.24,,,10.59,,,3.76,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.73,1.24,16.99,,6.72,,8.14,3.4,0.16,2.51,4.11,0.54,,,,1878,,30.6,,225,,,,237,,,,,61,814,34.8,282,27.2,,,,,,,,1052,62.1,135,14.8,67.1,9.55,3.2,9.56,,7.62,,2.57,,4.56,0.44,7.82,1.49,,,8.32,,,11.8,,,4.56,,72,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,56.82,1.16,16.38,,5.64,,6.73,2.9,0.09,2.84,4.42,0.6,,,,1612,,24.8,,182,,,,208,,,,,73,650,26.9,307,29.3,,,,,,,,887,53.8,105,13.4,43.1,7.81,2.41,5.62,,4.65,,2.15,,2.49,0.69,7.21,1.23,,,7.9,,,12.54,,,3.91,,39,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,48.41,1.12,19.78,,4.55,,9.46,4.2,0.07,2.07,4.39,0.77,,,,2515,,21.8,,246,,,,152,,,,,44,1267,28,197,25.5,,,,,,,,1148,70.2,138,15,62.1,9.37,3.28,8.11,,4.32,,3.48,,2.06,0.67,4.33,1.27,,,6.96,,,9.74,,,3.16,,225,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.9,1.24,18.95,,4.16,,9.49,1.67,0.1,2.27,3.9,0.59,,,,1940,,27.5,,248,,,,107,,,,,56,892,31.8,264,27.5,,,,,,,,1030,64.1,139,17.7,57.4,11.33,2.95,9.73,,4.55,,2.2,,3.58,0.52,8.14,1.53,,,8.32,,,6.85,,,3.99,,212,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,55.99,1.12,16,,5.78,,6.7,2.87,0.13,2.72,4.33,0.58,,,,1675,,21.4,,172,,,,166,,,,,62,650,26.5,285,28.2,,,,,,,,815,50.3,100,11.8,42.7,7.09,2.01,4.35,,4.26,,2.31,,2.74,0.64,7.29,1.44,,,5.42,,,11.98,,,3.31,,61,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,,,,,,,,,,,,,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,53.84,1.51,17.24,,6.1,,7.77,2.52,0.12,3.11,4.18,0.63,,,,1611,,22.4,,242,,,,265,,,,,78,749,29.7,290,32.2,,,,,,,,1038,60.1,126,13.4,52.8,8.4,2.36,8.42,,5.7,,2.95,,3.19,0.51,6.42,1.22,,,7.47,,,12,,,4.55,,27,,
2007,samp. 91-71-16,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,47.23,1.52,17.26,,5.1,,14.25,4.56,0.09,1.47,2.94,0.57,,,,1447,,46.4,,302,,,,109,,,,,38,1015,30.4,209,22.8,,,,,,,,954,71.7,150,18.8,67.2,14,3.77,10.67,,5.67,,3.09,,3.34,0.46,4.77,0.85,,,4.48,,,6.77,,,2.43,,462,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,61.5,2.09,15.08,,3.51,,3.38,1.29,0.08,4.25,3.23,0.68,,,,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,61.91,1.87,15.12,,3.49,,3.39,1.28,0.07,4.1,3.73,0.43,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,62.06,1.14,15.55,,3.67,,3.58,1.7,0.11,4.07,4.37,0.84,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,63.22,1.45,15,,3.2,,2.99,1.2,0.08,4.42,4.52,0.37,,,,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.31,0.028,0.34,,17.71,,0.21,43,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,40.31,0.0189,0.3521,,11.86,,0.2076,47.03,0.2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.45,0.0098,0.0281,,16.55,,0.2287,43.72,0.1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,40.1,0.0038,0.1422,,16.58,,0.2058,45.3,0.2894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.65,0.0212,0.2734,,19.72,,0.1593,39.72,0.2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.34,0.0121,0.0095,,15.87,,0.1479,44.92,0.2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.15,0,0.031,,16.62,,0.1994,43.36,0.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.95,0,0.0229,,14.3,,0.2119,45.3,0.2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.98,0,0.0446,,13.33,,0.2259,46.25,0.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.44,0.002,0.0468,,14.85,,0.238,44.9,0.1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.99,0,0.0314,,10.81,,0.219,48.19,0.1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,39.4,0.0207,0.0197,,16.59,,0.1474,43.41,0.2387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,37.22,0.028,0.0227,,27.09,,0.1589,35.04,0.4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,38.92,0.0364,0.0043,,17.1,,0.1401,43.71,0.3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,37.3,0.0374,0.0264,,26.49,,0.1661,35.8,0.4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-19B,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,36.99,0.0268,0.0215,,26.53,,0.1767,34.8,0.5479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.11,0.58,3.67,,4.61,,23.01,16.04,0.11,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,51.6,0.5403,3.65,,4.57,,23.05,15.73,0.0812,,0.2488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,51.47,0.5663,2.9046,,5.92,,22.4,15.93,0.103,,0.2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.26,0.5064,2.6197,,5.86,,21.68,16.45,0.1186,,0.2863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,50,0.8717,4.61,,6.35,,22.41,15.09,0.1264,,0.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.38,0.5938,4.16,,4.44,,22.48,14.47,0.104,,0.1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,50.67,0.7658,4.67,,5.31,,22.33,14.87,0.1251,,0.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.18,0.5599,3.12,,6.26,,22.25,15.75,0.1803,,0.2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,51.95,0.8443,4.62,,5.11,,22.46,14.37,0.0845,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,51.34,0.7877,3.95,,6.08,,22.13,15.1,0.1396,,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.3,0.6727,4.01,,5.57,,22.36,15.22,0.1031,,0.3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,samp. IZ03-17A,11674-IZ03-17A,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,52.25,0.6592,1.6914,,7.59,,20.79,16.38,0.2463,,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
