Year,SAMPLE_NAME,UNIQUE_ID,LOCATION,LAND_SEA,ROCK_TYPE,ROCK_NAME,LATITUDE,LONGITUDE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEOT_WT,FEO_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,F_PPM,K_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,TL_PPM,PB_PPM,BI_PPM,RA226(PPQ),TH_PPM,TH232_PPM,PA(PPT),U_PPM,U238_PPM,CO2_PPM,H2O_PPM,OH_PPM
1989,samp. T-91,11598-T-91,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / TURRIALBA,SUBAERIAL,VOLCANIC ROCK,"BASALT, CALC-ALKALINE",10.033,-83.76701,51.18,1.15,17.63,8.51,,,9.5,6.32,0.14,1.34,3.79,0.43,,,,,,26.5,,251,96,,37,,,,,,22,912,22.9,131,12.4,,,,,,,,643,37.7,72,,32.1,,,,,,,,,,,,,,,,,,5.05,,,1.56,,,,
1989,samp. T-108-2,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / TURRIALBA,SUBAERIAL,VOLCANIC ROCK,"BASALT, CALC-ALKALINE",10.033,-83.76701,52.73,0.95,18.38,8.06,,,9.48,5.21,0.15,1.19,3.55,0.33,,,,,,25.6,,232,63,,29,,,,,,20.8,921,19.1,110,9.2,,,,,,,,665,26.6,49,,25,,,,,,,,,,,,,,,,,,,,,,,,,
1989,samp. T-86,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / TURRIALBA,SUBAERIAL,VOLCANIC ROCK,"BASALT, CALC-ALKALINE",10.033,-83.76701,51.96,1.06,17.61,8.53,,,9.57,6.1,0.13,1.37,3.3,0.38,,,,,,27.7,,240,135,,53,,,,,,29.3,792,21.6,145,13.9,,,,,,,,661,37.3,64,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,
1989,samp. T-85,11598-T-85,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / TURRIALBA,SUBAERIAL,VOLCANIC ROCK,BASALT,10.033,-83.76701,51.73,1.91,15.91,9.69,,,8.93,6.48,0.14,1.09,3.6,0.53,,,,,,21.6,,218,186,,102,,,,,,22.2,887,25.6,195,35.8,,,,,,,,524,42,82,,38.1,,,,,,,,,,,,,,,,,,5.53,,,1.64,,,,
1986,samp. USNM/112151,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / COSTA RICA / ARENAL,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",10.467,-84.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,samp. USNM/112152,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / COSTA RICA / ARENAL,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",10.467,-84.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,samp. USNM/113634,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / COSTA RICA / ARENAL,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",10.467,-84.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,samp. CRAR82,11673-CR AR82,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / COSTA RICA / ARENAL,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",10.467,-84.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,samp. CR-I63G,11674-CR-I63G,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,samp. SE18,11763-SE18,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / SANTA ELENA,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,10.5,-85,47.56,2.74,15.48,11.56,,,8.16,4.99,0.17,0.96,4.87,0.4,,,,,,,,306,37,,40,,,,,,,352,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
