TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / TOFUA / TOFUA,-19.73,-175.07,SAE,s_TOF 42  [21408],"ANDESITE, BASALTIC [21408]",VOL,53.83,0.64,15.28,,,10.45,9.94,4.63,0.18,0.51,1.96,0.11,,,,,,,,,,,,,,,36.6,,324,15.2,,,35.3,3.71,127,77.7,14.5,,,,,5.84,220,15,28.4,0.268,,,,,,,,,,,,0.283,143,1.98,5.48,0.907,4.86,1.7,0.624,2.32,0.417,2.87,0.638,1.88,0.282,1.93,0.295,1.01,0.019,,,,,,,,0.021,2.18,,0.191,0.157
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / TOFUA / TOFUA,-19.73,-175.07,SAE,s_TOF 52 [21408],"ANDESITE, BASALTIC [21408]",VOL,54.17,0.56,15.19,,,10.18,10.19,4.95,0.18,0.46,1.89,0.1,,,,,,,,,,,,,,,37.7,,305,12.3,,,34.8,2.19,113,71.6,13.8,,,,,5.1,210,13,23.7,0.203,,,,,,,,,,,,0.265,131,1.65,4.51,0.753,4.03,1.45,0.537,1.95,0.358,2.49,0.544,1.62,0.239,1.65,0.265,0.858,0.014,,,,,,,,0.012,1.99,,0.161,0.139
INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / MINEIRO BELT / SERRINHA SUITE,-21.3,-44.3,SAE,s_CIRO 01 [21460],ANDESITE [21460],VOL,73.68,0.23,13.82,,,1.93,1.14,0.28,0.02,3.08,4.18,0.03,,,,,,,,,,,,,,,,,17,,,,71,,,15,15,,,,,43.38,135.36,29,233,13,,,,,,,,,,,,,1058,42.3,66.5,8.67,30.128,5.348,1.05,4.88,0.81,4.79,1.1,3.12,0.48,3.47,0.54,,,,,,,,,,,,,,
INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON_PROTEROZOIC / BRAZIL_PROTEROZOIC / MINEIRO BELT / SERRINHA SUITE,-21.3,-44.3,SAE,s_G4P26C [21460],ANDESITE [21460],VOL,75.28,0.19,12.82,,,3.01,1.87,0.25,0.04,0.14,5.18,0.02,,,,,,,,,,,,,,,,,12,,,,75,,,22,16,,,,,17,127,48,371,19,,,,,,,,,,,,,490,37.6,70.3,10.4,42.374,9.316,1.68,9.52,1.68,10.4,2.49,7.1,1.08,7.48,1.13,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / LAU BASIN / FONUALEI SPREADING CENTER,-18.02,-174.32,SAQ,s_FON 18 [21408],ANDESITE [21408],VOL,60.12,0.63,14.4,,,9.82,7.33,2.49,0.2,0.86,2.45,0.17,2.425287673,,,,,,,,,,,,,,34.41860547,,245.0946157,1.926610818,,,22.69698597,,23.06320567,103.1419541,15.86232081,,,,,11.01177341,328.441883,16.59991721,31.86525586,0.649173725,1.951367154,,,,,,,0.412825292,,,,0.315543481,178.9819605,3.252362213,8.005652648,1.253376673,6.276726488,1.985658485,0.679385332,2.416265631,0.417778489,2.798100187,0.605203089,1.786238922,0.275232522,1.887759447,0.289524859,1.08561413,0.038333208,0.279650542,,,,,,,6.47E-02,4.529571106,,0.339216032,0.292603394
CONVERGENT MARGIN,TONGA ARC / LAU BASIN / FONUALEI SPREADING CENTER,-18.02,-174.32,SAQ,s_FON 19 [21408],ANDESITE [21408],VOL,59.93,0.63,14.4,,,9.68,7.32,2.58,0.19,0.85,2.55,0.16,4.939758754,,,,,,,,,,,,,,36.11344793,,254.0177994,,,,23.78454654,,26.11913067,104.2193023,16.41675897,,,,,10.85533279,338.123728,18.63213948,32.51165044,0.679239923,1.739776981,,,,,,,0.471099598,,,,0.153755762,183.8711799,3.419086856,8.447780897,1.349142477,6.842584544,2.226904553,0.742532881,2.75073877,0.47540747,3.172441663,0.68508983,2.006283738,0.306479523,2.115537512,0.321893341,1.112067607,4.03E-02,0.320025723,,,,,,,0.063553206,3.638895131,,0.352985828,0.316902232
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 02 [21408],"ANDESITE, BASALTIC [21408]",VOL,54.72,0.7,14.04,,,11.76,9.24,4.07,0.2,0.55,2.26,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 03 [21408],"ANDESITE, BASALTIC [21408]",VOL,53.15,0.54,16.76,,,9.63,11,4.45,0.17,0.46,1.91,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 04 [21408],"ANDESITE, BASALTIC [21408]",VOL,53.23,0.55,16.78,,,9.68,11.04,4.46,0.17,0.46,1.78,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 05 [21408],"ANDESITE, BASALTIC [21408]",VOL,53.61,0.55,15.49,,,10.1,10.75,5.42,0.18,0.45,1.64,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 06 [21408],"ANDESITE, BASALTIC [21408]",VOL,53.57,0.55,15.33,,,10.19,10.61,5.57,0.19,0.45,1.64,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 07 [21408],"ANDESITE, BASALTIC [21408]",VOL,53.27,0.54,16.75,,,9.65,10.95,4.34,0.17,0.46,1.67,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 08 [21408],"ANDESITE, BASALTIC [21408]",VOL,53.19,0.54,16.79,,,9.54,11.09,4.47,0.17,0.45,1.79,0.09,3.126262872,,,,,,,,,,,,,,39.67075941,,369.9490819,30.45975411,,,31.11689161,14.57238979,136.3944949,70.73242868,15.35067179,,,,,6.009975848,247.1768269,12.01979331,20.2428133,0.236782336,0.756244112,,,,,,,0.291248202,,,,0.212403677,87.53998572,1.619020057,4.245999338,0.70891451,3.654458811,1.25492124,0.465061806,1.641715158,0.296373479,2.020661339,0.441324473,1.297930762,0.197445975,1.362797402,0.202833496,0.704203376,1.72E-02,8.74E-02,,,,,,,3.03E-02,1.902738328,,0.138306611,0.119598978
CONVERGENT MARGIN,TONGA ARC / TONGA ISLANDS / LATE,-18.8,-174.63,SAE,s_LAT 09 [21408],ANDESITE [21408],VOL,58.5,0.81,13.56,,,11.59,7.64,2.67,0.2,0.74,2.33,0.15,6.413639233,,,,,,,,,,,,,,41.0751224,,435.1076064,4.500600928,,,30.04598295,6.219272527,189.0971329,100.9264045,16.56930854,,,,,10.26043954,262.0330034,20.87406284,37.000244,0.33020303,1.722682565,,,,,,,0.466676628,,,,0.351926056,148.8574215,2.818271503,7.496733001,1.243129453,6.465976608,2.212830458,0.755764486,2.865166403,0.51329353,3.499200387,0.765905769,2.254173832,0.341727136,2.352433846,0.355686705,1.283997475,2.56E-02,0.24533461,,,,,,,4.89E-02,2.872470195,,0.247685828,0.21311565
