"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / LARGO","","0.0974","0.0974","-89.2501","-89.2501","SAQ","-1325","-1557","s_DR72A-1 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC [22151] ","VOL","","","","","WR [22151] ","46.83","0.85","","18.39","","","","7.68","12.52","9.72","0.13","","0.07","2.26","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.17","141","21","47","0.3","","","","","","","","","","","","","2.85","0.7","3.7","0.8","5.1","2","0.9","2.6","0.5","3.2","0.7","1.9","0.3","1.9","0.3","1.3","0.03","","","","","","","","","0.22","","0.02","0.33","0.513149","","","0.702526","","18.337","","15.495","","37.833","","","","","","","","","","","","","","","1349729",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / GRANDE","","-0.047","-0.047","-89.271","-89.271","SAQ","-1500","-1632","s_DR73-4 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC, NON-VESICULAR [22151] ","VOL","","","","","WR [22151] ","47.8","2.02","","14.31","","","","11.93","11.79","5.35","0.15","","0.15","3.27","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.2","","358.3","104","","","45.6","49","77.7","103.4","","","","","","3.25","149","45.19","129.82","1.64","","","","","","","","","","","","","9.8","2.9","10.9","2.2","12.6","4.7","1.8","6.1","1.1","7.1","1.5","4","0.6","3.8","0.6","3.2","0.11","","","","","","","","","0.54","","0.13","0.21","0.513144","","","0.702524","","18.374","","15.499","","37.881","","","","","","","","","","","","","","","1349730",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / BEAGLE","","-0.0238","-0.0238","-88.5162","-88.5162","SAQ","-1555","-1657","s_DR80-1 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC [22151] ","VOL","","","","","WR [22151] ","50.18","1.29","","15.32","","","","8.71","12.9","7.03","0.17","","0.16","2.63","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.5","","333.8","239.6","","","65","131.4","149.6","85.6","","","","","","2.07","112","33.58","75.34","1.21","","","","","","","","","","","","","8.45","1.9","6.9","1.4","7.7","2.9","1.2","4","0.7","5","1","2.9","0.4","2.9","0.4","1.9","0.07","","","","","","","","","0.39","","0.09","0.1","0.513114","","","0.702618","","18.42","","15.509","","37.961","","","","","","","","","","","","","","","1349731",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / IGUANA","","-0.315","-0.315","-88.3878","-88.3878","SAQ","-1214","-1429","s_DR83-1 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC, NON-VESICULAR [22151] ","VOL","","","","","WR [22151] ","46.64","0.94","","17.37","","","","8.39","12.92","8.55","0.14","","0.1","2.47","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8","","233.2","305.1","","","51.2","203.3","131.7","67.1","","","","","","2.03","145","23.71","59.3","0.48","","","","","","","","","","","","","2.1","1.1","5.2","1.1","6.6","2.4","1","3.2","0.6","4.1","0.9","2.5","0.4","2.5","0.4","1.7","0.05","","","","","","","","","0.3","","0.04","0.09","0.513142","","","0.702539","","18.384","","15.5","","37.855","","","","","","","","","","","","","","","1349732",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / PICO","","-0.1073","-0.1073","-89.821","-89.821","SAQ","-1320","-1688","s_PL2-16-3 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","","VOL","","","","","WR [22151] ","46.25","3.07","","15.53","","","","12.93","11.25","5.14","0.2","","0.34","2.9","0.782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","335","19","","","68","29","69","","","","","","","3.87","341","44","178","22.5","","","","","","","","","","","","","95","16.3","38.5","5","23.9","6.3","2.1","7","1.1","6.9","1.4","3.7","0.5","3.2","0.5","4.6","","","","","","","","","","1.51","","1.59","0.54","","","","","","","","","","","","","","","","","","","","","","","","","1349733",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / LARGO","","0.1158","0.1158","-89.29","-89.29","SAQ","-1325","-2129","s_DR72-3 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC [22151] ","VOL","","","","","GL [22151] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513118","","","0.702567","","18.666","","15.516","","38.112","","","","","","","","","","","","","","","1349734",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / SUNRAY","","-0.4688","-0.4688","-88.5352","-88.5352","SAQ","-935","-1425","s_PL2-9-50 [22151]","NOT GIVEN [22151]","","","","PLIOCENE [22151]","","","","APHYRIC, HIGH TO MODERATELY VESICULAR [22151] ","VOL","","","","","WR [22151] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513076","","","0.702709","","18.6103","","15.5355","","38.2176","","","","","","","","","","","","","","","1349735",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / FITZROY","","-0.195","-0.195","-88.6683","-88.6683","SAQ","-702","-1309","s_PL2-11-7 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","NON-VESICULAR [22151] ","VOL","","","","","WR [22151] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513111","","","0.702671","","18.5212","","15.5117","","37.9813","","","","","","","","","","","","","","","1349736",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / FITZROY","","-0.2408","-0.2408","-88.6367","-88.6367","SAQ","-1123","-1378","s_PL2-12-5 [22151]","NOT GIVEN [22151]","","","","PLIOCENE [22151]","","","","MODERATELY VESICULAR [22151] ","VOL","","","","","WR [22151] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513124","","","0.702574","","18.4408","","15.5085","","37.9451","","","","","","","","","","","","","","","1349737",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / FITZROY","","-0.2408","-0.2408","-88.6367","-88.6367","SAQ","-1123","-1378","s_PL2-12-7 [22151]","NOT GIVEN [22151]","","","","PLIOCENE [22151]","","","","MODERATELY VESICULAR [22151] ","VOL","","","","","WR [22151] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.513135","","","0.702925","","18.3859","","15.4996","","37.8711","","","","","","","","","","","","","","","1349738",
