TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM)
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_41A [7414],THOLEIITE [7414],VOL,46.96,1.59,14.52,,9.32,,12,12.59,0.15,0.35,1.95,0.17,,,,,,,,,,,,,,,32,,236,799,,,,345,78,71,16,,,,,6,298,19,95,13,,,,,,,,,,,,,88,13,42,,,,,,,,,,,,,,,,,,,,,,,0,,1,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_46 [7414],THOLEIITE [7414],VOL,47.65,1.59,14.6,,9.23,,12.05,12.5,0.15,0.36,2,0.17,,,,,,,,,,,,,,,30,,229,811,,,,348,79,73,16,,,,,7,294,19,94,15,,,,,,,,,,,,,93,18,24,,,,,,,,,,,,,,,,,,,,,,,3,,2,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_47 [7414],THOLEIITE [7414],VOL,47.74,1.61,14.72,,9.11,,12.04,12.4,0.16,0.36,2.02,0.17,,,,,,,,,,,,,,,25,,236,802,,,,342,78,72,19,,,,,5,296,19,94,16,,,,,,,,,,,,,108,15,31,,,,,,,,,,,,,,,,,,,,,,,8,,2,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_53 [7414],THOLEIITE [7414],VOL,47.31,1.61,14.61,,8.97,,12.1,12.45,0.15,0.35,1.91,0.17,,,,,,,,,,,,,,,30,,234,865,,,,356,76,76,17,,,,,6,298,18,93,14,,,,,,,,,,,,,93,0,29,,,,,,,,,,,,,,,,,,,,,,,0,,0,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_54 [7414],THOLEIITE [7414],VOL,47.44,1.61,14.33,,9.37,,11.87,12.91,0.16,0.35,1.93,0.17,,,,,,,,,,,,,,,28,,235,914,,,,359,78,71,18,,,,,5,293,20,94,14,,,,,,,,,,,,,94,11,24,3,14,4,1,4,0.6,3,0.7,1.9,0.3,1.6,0.2,2.4,,,,,,,,,,0,,0,0.3
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_45A [7414],THOLEIITE [7414],VOL,47.12,1.62,14.93,,8.91,,12.26,11.61,0.15,0.36,1.98,0.18,,,,,,,,,,,,,,,33,,235,802,,,,309,80,70,13,,,,,6,305,20,97,15,,,,,,,,,,,,,94,15,46,,,,,,,,,,,,,,,,,,,,,,,1,,2,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_INTRACALDERASCORIA [7414],THOLEIITE [7414],VOL,47.65,1.61,14.04,,9.33,,11.71,14.11,0.16,0.36,2.04,0.17,,,,,,,,,,,,,,,26,,237,1049,,,,393,73,73,18,,,,,6,286,19,94,13,,,,,,,,,,,,,130,17,38,5,23,5,2,6,0.9,5,1,2.8,0.4,2.4,0.3,3.7,,,,,,,,,,3,,0,0.4
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / CERRO AZUL,-0.85,-91,SAE,s_1979 [7414],THOLEIITE [7414],VOL,48.37,3.02,14.99,,11.47,,11.2,6.28,0.19,0.69,3.41,0.36,,,,,,,,,,,,,,,33,,367,106,,,,47,69,104,,,,,,13,383,31,187,32,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_E-142 [609],RHYOLITE [609] / BASALT [6893],VOL,70.5,0.41,13.5,1.41,3.23,,1.83,0.26,0.13,2.89,5.48,0.08,17,,,,,,,,,,,,,,,,,5,,,7,5,10,123,,,,,,59.5,102.1,105.3,923.1,80.2,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N3 [4796],PEGMATITE [4796],PEG,42.56,8.62,8.82,5.66,12.06,13.5,11.45,6.96,0.25,0.3,2.02,0.21,,,,,,,,,,,,,2235,,,,977,51,,,,57,77,130,,,,,,4.1,213,26,142,,,,,,,,,,,,,0.028,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
