TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM)
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE),-0.63,-90.38,SAE,s_E-4 [1210],BASALT [1210],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,4.928,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_DG4 [604],THOLEIITE [604],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00085,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_SR9A [604],RHYOLITE [604],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_80-61S [4796],THOLEIITE [4796],VOL,49.57,3.47,14.25,,12.14,,10.67,5.94,,0.59,2.94,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_80-68S [4796],THOLEIITE [4796],VOL,48.58,4.16,13.44,,13.25,,10.28,5.48,,0.64,3.05,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-7 [4796],THOLEIITE [4796],VOL,48.14,4.19,13.35,,12.95,,9.96,5.76,,0.71,3.12,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-7 [4796],THOLEIITE [4796],VOL,48.06,4.18,13.13,,13.16,,10.03,5.66,,0.77,3.04,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-12 [4796],THOLEIITE [4796],VOL,49.05,3.39,14.54,,11.46,,10.57,6.36,,0.63,2.91,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F88-2 [4796],THOLEIITE [4796],VOL,48.1,3.82,13.15,,12.94,,10.65,5.73,0.2,0.61,3.17,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F88-3 [4796],THOLEIITE [4796],VOL,48.55,3.81,14.03,,12.62,,10.63,6.07,0.18,0.54,2.99,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_91-C [4796],THOLEIITE [4796],VOL,48.71,3.57,14.27,,12.67,,10.8,5.99,0.18,0.51,2.97,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_91-D [4796],THOLEIITE [4796],VOL,48.54,3.63,14.09,,12.62,,10.92,6.07,0.18,0.52,2.95,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_FV1 [4796],THOLEIITE [4796],VOL,49.14,3.87,13.78,,12.66,,10.95,5.5,0.26,0.59,2.95,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F145 [4796],THOLEIITE [4796],VOL,48.26,2.95,15.31,5.18,6.34,10.74,11.81,6.06,0.18,0.38,2.71,0.27,,,,,,,,,,,,,,,35.3,,350,116,,,47,53,90,89,,,,,,7,317,27,141,,,,,,,,,,,,,,90,12.7,32.1,,,5.26,1.83,,0.94,,,,,2.33,0.34,4.48,2.28,,,,,,,,,,,1.04,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F381 [4796],THOLEIITE [4796],VOL,48.21,3.28,14.04,,,11.25,11.13,6.2,0.18,0.51,2.77,0.34,,,,,,,,,,,,,,,,,392,151,,,,57,88,108,,,,,,9,316,32,181,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F356 [4796],THOLEIITE [4796],VOL,48.57,3.16,13.86,,,11.18,11.33,6.57,0.18,0.42,2.62,0.3,,,,,,,,,,,,,,,,,398,152,,,,71,104,114,,,,,,7,299,29,163,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F112 [4796],THOLEIITE [4796],VOL,47.62,3.44,13.92,,,11.72,10.96,6.18,0.19,0.51,2.79,0.34,,,,,,,,,,,,,,,,,408,179,,,,54,94,117,,,,,,8,311,34,189,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N8 [4796],THOLEIITE [4796],VOL,48.15,3.62,13.88,,,12.02,10.57,5.85,0.19,0.56,2.9,0.39,,,,,,,,,,,,,,,,,409,135,,,,49,92,119,,,,,,10,315,36,205,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F363 [4796],NOT GIVEN [4796],VOL,47.67,3.23,15.06,1.29,10.29,10.98,11.04,5.83,0.17,0.49,2.85,0.33,,,,,,,,,,,,,,,32.4,,386,190,,,,51,87,113,,,,,,8,324,32,181,,,,,,,,,,,,,,120,15.8,37.1,,,6.18,2.03,,0.85,,,,,2.58,0.33,4.68,,,,,,,,,,,,1.16,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F425 [4796],THOLEIITE [4796],VOL,47.36,1.97,16.34,8.86,1.62,9.34,12.04,7.93,0.15,0.27,2.36,0.16,,,,,,,,,,,,,,,30.3,,239,266,,,56.8,99,45,72,,,,,,5,322,17,89,,,,,,,,,,,,,,67,7.3,17.7,,,2.93,1.22,,0.5,,,,,1.41,0.19,2.17,1.15,,,,,,,,,,,0.6,0.11
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N3A [4796],THOLEIITE [4796],VOL,43.48,4.85,11.42,,,13.5,10.27,5.34,0.23,0.5,2.78,0.34,,,,,,,,,,,,,,,38.5,,572,49,,,50.4,44,100,142,,,,,,9,279,35,200,,,,,,,,,,,,,,120,17.4,42.1,,,6.79,2.4,,1.13,,,,,3.19,0.45,5.73,2.1,,,,,,,,,,,1.81,0.4
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F89-1 [4796],THOLEIITE [4796],VOL,48.15,3.11,16.51,,,10.45,11.73,5.55,0.17,0.47,2.89,0.37,,,,,,,,,,,,,,,33.1,,345,152,,,38.8,49,83,91,,,,,,8,340,29,170,,,,,,,,,,,,,,99,14.6,37.9,,,5.71,1.89,,0.97,,,,,2.45,0.37,4.13,1.61,,,,,,,,,,,1.45,0.37
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F006 [4796],THOLEIITE [4796],VOL,48.34,3.38,15.02,3.99,8.12,11.32,10.97,5.81,0.18,0.54,2.81,0.36,,,,,,,,,,,,,,,32.8,,351,142,,,49.6,48,90,112,,,,,,9,331,33,201,,,,,,,,,,,,,,114,17.5,40.6,,,6.7,2.14,,1.05,,,,,2.56,0.37,5.12,4.83,,,,,,,,,,,1.5,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_FH51A [4796],THOLEIITE [4796],VOL,47.73,2.93,15.84,,,10.56,11.84,5.98,0.17,0.43,2.64,0.3,,,,,,,,,,,,,,,,,352,195,,,,61,90,99,,,,,,8,234,29,164,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F148 [4796],THOLEIITE [4796],VOL,49.05,2.59,16.39,2.7,7.1,9.85,12.38,6.71,0.16,0.35,2.44,0.25,,,,,,,,,,,,,,,32.7,,313,312,,,40.7,88,97,100,,,,,,5,354,26,158,,,,,,,,,,,,,,91,11.7,28.7,,,4.56,1.58,,0.76,,,,,2.01,0.28,3.58,1.16,,,,,,,,,,,0.96,0.3
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F438 [4796],THOLEIITE [4796],VOL,47.91,3.26,15.32,3.04,8.62,11.07,11.16,5.82,0.18,0.52,2.87,0.33,,,,,,,,,,,,,,,33.1,,369,174,,,42.4,51,86,110,,,,,,8,336,32,187,,,,,,,,,,,,,,110,17.2,41.1,,,6.45,2.13,,1.03,,,,,2.79,0.38,5.02,1.63,,,,,,,,,,,1.7,0.49
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F004 [4796],THOLEIITE [4796],VOL,47.86,3.49,14.07,2.14,10.2,11.79,10.91,6.09,0.19,0.53,3.01,0.35,,,,,,,,,,,,,,,35.7,,379,165,,,43.9,44,88,109,,,,,,9,308,33,189,,,,,,,,,,,,,,125,17.3,40.8,,,6.82,2.21,,1.01,,,,,2.76,0.37,5.33,1.68,,,,,,,,,,,1.44,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N9 [4796],THOLEIITE [4796],VOL,48.46,3.54,14.19,,,11.94,10.9,6.09,0.19,0.54,2.97,0.36,,,,,,,,,,,,,,,36.4,,400,169,,,44.9,46,89,115,,,,,,9,307,34,195,,,,,,,,,,,,,,117,18.1,43.8,,,6.53,2.3,,1.14,,,,,2.9,0.41,5.23,1.7,,,,,,,,,,,1.56,0.47
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F418 [4796],THOLEIITE [4796],VOL,48.23,3.22,15.33,2.15,9.51,11.08,11.24,5.85,0.18,0.51,2.9,0.36,,,,,,,,,,,,,,,,,336,172,,,,47,83,108,,,,,,9,332,32,189,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F364 [4796],THOLEIITE [4796],VOL,47.72,3.06,15.49,1.67,9.61,10.73,11.17,6.03,0.17,0.47,2.98,0.3,,,,,,,,,,,,,,,32.3,,353,195,,,41.1,51,81,103,,,,,,8,331,29,173,,,,,,,,,,,,,,116,14.9,36.1,,,5.75,1.92,,0.92,,,,,2.49,0.35,4.55,1.44,,,,,,,,,,,1.34,0.31
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N1 [4796],THOLEIITE [4796],VOL,47.91,3.01,16.21,2.46,8.65,10.44,11.36,5.77,0.17,0.46,2.85,0.31,,,,,,,,,,,,,,,31.3,,340,186,,,40.9,46,76,99,,,,,,8,339,29,173,,,,,,,,,,,,,,99,15.1,36.1,,,5.85,1.97,,0.98,,,,,2.35,0.31,4.59,1.43,,,,,,,,,,,1.25,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N2 [4796],THOLEIITE [4796],VOL,47.42,3.04,16.03,,,10.58,11.39,5.75,0.17,0.47,2.77,0.31,,,,,,,,,,,,,,,31.1,,340,186,,,40.6,45,77,101,,,,,,7,335,29,172,,,,,,,,,,,,,,106,14.8,36.3,,,5.75,1.96,,0.96,,,,,2.52,0.35,4.45,1.46,,,,,,,,,,,1.27,0.44
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_80-61 [4796],THOLEIITE [4796],VOL,47.65,3.01,16.21,5.03,5.88,10.41,11.3,5.66,0.17,0.47,2.8,0.31,,,,,,,,,,,,,,,,,356,191,,,,52,87,107,,,,,,8,340,30,174,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_80-68-1 [4796],THOLEIITE [4796],VOL,47.49,2.71,17.12,,,9.7,11.46,5.66,0.15,0.42,2.71,0.27,,,,,,,,,,,,,,,27.9,,327,204,,,39.6,57,77,96,,,,,,7,354,27,158,,,,,,,,,,,,,,102,14,34.2,,,5.37,1.8,,0.85,,,,,2.24,0.33,4,1.39,,,,,,,,,,,1.26,0.48
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F807 [4796],THOLEIITE [4796],VOL,47.93,2.98,15.93,11.77,0.09,10.39,11.46,6.65,0.17,0.43,2.79,0.29,,,,,,,,,,,,,,,32.6,,358,239,,,42.4,80,118,106,,,,,,7,317,29,177,,,,,,,,,,,,,,121,14,34.1,,,5.55,1.87,,0.89,,,,,2.4,0.34,4.67,1.35,,,,,,,,,,,1.17,0.29
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N5 [4796],THOLEIITE [4796],VOL,47.72,2.77,16.92,3.25,7.15,9.56,11.71,5.82,0.16,0.46,2.73,0.3,,,,,,,,,,,,,,,29.5,,324,183,,,37.7,60,78,92,,,,,,8,358,28,171,,,,,,,,,,,,,,100,15,35.2,,,5.7,1.85,,0.92,,,,,2.21,0.3,4.4,1.35,,,,,,,,,,,1.25,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F427 [4796],THOLEIITE [4796],VOL,48.29,2.99,17.09,2.18,8.47,,11.74,5.94,0.18,0.51,2.8,0.2,,,,,,,,,,,,,,,31.5,,352,180,,,39.2,58,81,100,,,,,,8,349,29,182,,,,,,,,,,,,,,112,15.8,38.4,,,5.95,1.98,,0.92,,,,,2.41,0.35,4.85,1.51,,,,,,,,,,,1.46,0.43
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F705 [4796],THOLEIITE [4796],VOL,47.94,3.25,15.37,3.1,8.2,10.75,11.39,5.8,0.18,0.52,2.93,0.34,,,,,,,,,,,,,,,34,,374,169,,,40.7,52,96,105,,,,,,9,336,32,194,,,,,,,,,,,,,,124,17.2,42.1,,,6.51,2.15,,1.07,,,,,2.71,0.36,5.12,1.61,,,,,,,,,,,1.7,0.25
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F706 [4796],THOLEIITE [4796],VOL,47.89,3.22,15.33,,,10.67,11.4,5.74,0.17,0.52,2.89,0.33,,,,,,,,,,,,,,,,,386,175,,,,54,104,107,,,,,,9,336,31,190,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F707 [4796],THOLEIITE [4796],VOL,47.88,3.16,15.62,,,10.43,11.4,5.7,0.17,0.52,2.85,0.33,,,,,,,,,,,,,,,,,387,177,,,,54,111,111,,,,,,9,339,31,191,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F811 [4796],THOLEIITE [4796],VOL,47.91,3.32,15.54,,,10.91,11.27,5.66,0.18,0.53,2.9,0.34,,,,,,,,,,,,,,,,,385,144,,,,52,98,113,,,,,,9,340,33,209,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F814 [4796],THOLEIITE [4796],VOL,47.89,3.31,15.28,3.11,8.47,11,11.32,5.83,0.18,0.53,2.92,0.35,,,,,,,,,,,,,,,34.1,,384,158,,,41.3,54,97,109,,,,,,8,334,32,201,,,,,,,,,,,,,,116,17.1,41.3,,,6.44,,,,,,,,2.75,0.39,5.27,,,,,,,,,,,,,0.53
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_8-1 [4796],THOLEIITE [4796],VOL,47.64,3.36,14.81,3.1,8.56,11.04,11.24,5.71,0.18,0.54,2.82,0.35,,,,,,,,,,,,,,,33.6,,391,139,,,40.6,51,92,111,,,,,,9,330,33,198,,,,,,,,,,,,,,133,17.6,42,,,6.93,2.2,,1.01,,,,,2.72,0.37,0.92,1.59,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-5 [4796],THOLEIITE [4796],VOL,48.16,3.67,13.97,,,11.89,10.84,5.97,0.19,0.58,2.99,0.37,,,,,,,,,,,,,,,35.6,,408,100,,,43.8,52,112,118,,,,,,10,315,35,208,,,,,,,,,,,,,,125,18.7,45.4,,,6.91,2.34,,1.1,,,,,3.02,0.41,5.61,1.79,,,,,,,,,,,1.9,0.45
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-8 [4796],THOLEIITE [4796],VOL,47.14,3.47,14.34,,,11.48,11.16,5.84,0.19,0.55,2.94,0.36,,,,,,,,,,,,,,,35,,402,,,,42.8,55,105,112,,,,,,9,323,33,200,,,,,,,,,,,,,,129,18.2,43.2,,,6.94,2.29,,1.14,,,,,2.91,0.39,5.45,1.69,,,,,,,,,,,1.66,0.47
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-9-1 [4796],THOLEIITE [4796],VOL,47.75,3.48,14.45,,,11.36,11.06,5.76,0.18,0.54,2.88,0.34,,,,,,,,,,,,,,,,,408,127,,,,51,110,113,,,,,,9,327,33,202,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-10 [4796],THOLEIITE [4796],VOL,46.73,3.4,14.36,3.07,8.91,11.1,10.84,5.65,0.18,0.54,2.82,0.35,,,,,,,,,,,,,,,,,387,119,,,,50,108,111,,,,,,9,325,34,201,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F89-5 [4796],THOLEIITE [4796],VOL,48.23,3.46,14.8,,,11.27,11.18,5.89,0.18,0.54,2.92,0.36,,,,,,,,,,,,,,,34.8,,383,124,,,41.1,49,94,116,,,,,,9,324,33,195,,,,,,,,,,,,,,118,16.2,42.1,,,6.46,2.16,,1.07,,,,,2.71,0.35,4.63,1.66,,,,,,,,,,,1.19,0.44
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F89-8 [4796],THOLEIITE [4796],VOL,48.16,3.41,15.02,,,11.16,11.36,5.9,0.18,0.53,2.89,0.34,,,,,,,,,,,,,,,34.7,,390,140,,,40.9,52,92,112,,,,,,9,326,33,194,,,,,,,,,,,,,,107,16.1,43.2,,,6.38,2.01,,0.88,,,,,2.75,0.36,4.35,1.74,,,,,,,,,,,1.34,0.57
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_FV1 [4796],THOLEIITE [4796],VOL,48.95,3.14,15.94,,,11.09,11.74,6.22,0.18,0.53,2.95,0.34,,,,,,,,,,,,,,,32.4,,353,176,,,40.3,61,90,125,,,,,,7,369,31,197,,,,,,,,,,,,,,106,16,36.5,,,6.3,1.99,,0.94,,,,,2.43,0.34,4.43,1.43,,,,,,,,,,,1.35,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F95-1 [4796],THOLEIITE [4796],VOL,48.69,3.06,16,,,10.97,11.75,6.33,0.17,0.47,2.85,0.33,,,,,,,,,,,,,,,31.9,,342,198,,,40.5,64,86,118,,,,,,8,359,31,189,,,,,,,,,,,,,,110,15.2,35.6,,,5.96,1.86,,1.01,,,,,2.4,0.3,4.35,1.38,,,,,,,,,,,1.21,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F424 [4796],THOLEIITE [4796],VOL,50.53,3.39,15.34,4.3,7.38,,10.12,4.83,0.19,0.76,3.11,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F812 [4796],THOLEIITE [4796],VOL,47.9,3.24,16.15,2.01,9.46,,11.25,5.78,0.18,0.52,3.11,0.35,,,,,,,,,,,,,,,33.4,,,146,,,40.5,,,,,,,,,,420,,,,,,,,,,,,,,,,154,17.1,41.1,,,6.29,2.14,,1.02,,,,,2.75,0.38,5.75,1.54,,,,,,,,,,,1.29,0.51
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F88-2 [4796],THOLEIITE [4796],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,109,,,43.7,,,,,,,,,,326,,,,,,,,,,,,,,,,144,18.5,47.4,,,6.66,2.15,,1.1,,,,,3.05,0.43,5.17,2.13,,,,,,,,,,,1.9,0.38
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F88-3 [4796],THOLEIITE [4796],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,155,,,45.4,,,,,,,,,,338,,,,,,,,,,,,,,,,281,18.7,48.7,,,7.04,2.33,,0.92,,,,,2.72,0.48,5.44,2.09,,,,,,,,,,,1.64,0.45
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_91-C [4796],THOLEIITE [4796],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,154,,,43.3,,,,,,,,,,303,,,,,,,,,,,,,,,,110,18,41.8,,,6.78,2.17,,0.9,,,,,2.62,0.44,5.46,1.74,,,,,,,,,,,1.58,0.68
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_91-D [4796],THOLEIITE [4796],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,99,,,44.5,,,,,,,,,,372,,,,,,,,,,,,,,,,126,19.9,46.2,,,7.72,2.36,,1.17,,,,,2.99,0.44,5.6,1.8,,,,,,,,,,,1.66,0.4
OCEAN ISLAND,"GALAPAGOS ISLANDS / FLOREANA (SANTA MARIA, CHARLES)",-1.28,-90.41,SAE,s_FL-3 [607],"WEHRLITE, XENOLITH [607]",PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / DARWIN VOLCANO,-0.17,-91.28,SAE,s_E-64 [20400],BASALT [20400],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
